<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CIAN;D;130824;000000;695;707.8;680;700;38016
CIAN;D;140824;000000;700.2;730;700;721.2;37088
CIAN;D;150824;000000;723.6;739;718.2;723.8;61692
CIAN;D;160824;000000;723.2;731;703.8;718.8;33023
CIAN;D;170824;000000;721;721.4;706.6;715;14403
CIAN;D;200824;000000;712;714.6;697.4;700.2;20516
CIAN;D;210824;000000;700;713.6;690;708;25681
CIAN;D;220824;000000;708.4;720;680;686.2;71573
CIAN;D;230824;000000;688.8;693.4;651.2;652;33939
CIAN;D;240824;000000;655;655;621;632.6;47117
CIAN;D;270824;000000;643.8;669.6;622.6;650.2;62161
CIAN;D;280824;000000;652.2;705.8;626.2;632.4;206129
CIAN;D;290824;000000;635.4;646;620.4;642.4;62381
CIAN;D;300824;000000;642;651.8;633.2;643.2;28648
CIAN;D;310824;000000;640;645;602;603.6;37821
CIAN;D;030924;000000;581;589.6;540;557.6;94028
CIAN;D;040924;000000;558.4;584;545.6;567.8;69204
CIAN;D;050924;000000;569.6;599.8;566.4;590.8;40979
CIAN;D;060924;000000;600;635.8;597;625;64325
CIAN;D;070924;000000;632.8;634.2;618.4;629.2;23268
CIAN;D;100924;000000;628.6;657.8;628.6;649.6;27576
CIAN;D;110924;000000;656.8;665;630;630;78189
CIAN;D;120924;000000;629.8;645.2;628;631.4;53159
CIAN;D;130924;000000;628.2;635;614.2;624;58625
CIAN;D;140924;000000;620.6;649.8;614;637.4;59342
CIAN;D;170924;000000;641.6;695.6;641.4;682;139745
CIAN;D;180924;000000;688.6;718.8;680;695.6;124429
CIAN;D;190924;000000;704;710.8;673;673;51776
CIAN;D;200924;000000;681;688.6;654;678.2;45981
CIAN;D;210924;000000;685;697.8;682.8;687;40035
CIAN;D;240924;000000;692;715;690;698;44788
CIAN;D;250924;000000;705.6;724;698;715.8;95563
CIAN;D;260924;000000;724.6;724.6;700;701.8;34868
CIAN;D;270924;000000;692;693.8;671;673;87479
CIAN;D;280924;000000;674;682;655.6;671;25966
CIAN;D;011024;000000;678;686.6;657;660;41136
CIAN;D;021024;000000;666.2;666.2;633;647;43414
CIAN;D;031024;000000;647.6;651.2;621;621;30180
CIAN;D;041024;000000;627.8;628.6;597.8;605;101045
CIAN;D;051024;000000;608.4;611.8;596.4;602.2;62024
CIAN;D;081024;000000;605;607.2;590.6;600;52300
CIAN;D;091024;000000;602.6;624;599.2;609.6;107100
CIAN;D;101024;000000;609.8;616;585;590;115651
CIAN;D;111024;000000;595;600;586;589.6;27693
CIAN;D;121024;000000;589;589;573.6;584.8;18377
CIAN;D;151024;000000;584.2;594.8;571.8;587.2;37700
CIAN;D;161024;000000;590;608.4;590;604;47573
CIAN;D;171024;000000;604;616;593.4;598.2;47883
CIAN;D;181024;000000;595.4;600.8;590;592.8;9746
CIAN;D;191024;000000;597;600.6;576.8;587.4;17239
CIAN;D;221024;000000;584.6;596.4;583.2;587.6;19859
CIAN;D;231024;000000;589.2;598.6;576.4;579.8;24460
CIAN;D;241024;000000;580;604;561;575.4;252622
CIAN;D;251024;000000;567.4;579;564;578;20128
CIAN;D;261024;000000;579.2;587;553;568.2;67471
CIAN;D;291024;000000;560.4;562.8;542.2;542.2;33520
CIAN;D;301024;000000;549;563.4;546.2;560.2;61020
CIAN;D;311024;000000;564.8;572.2;561.6;571.6;30520
CIAN;D;011124;000000;563;563;540;547;79068
CIAN;D;021124;000000;548.2;557;541;548.4;38242
CIAN;D;031124;000000;549.6;554.8;546;548.8;9255
CIAN;D;061124;000000;551.8;559.8;542;557.4;28603
CIAN;D;071124;000000;573;583.2;560;567.4;29779
CIAN;D;081124;000000;568.8;569.4;547.6;565.6;13567
CIAN;D;091124;000000;577.2;579.8;564;576;22128
CIAN;D;121124;000000;595;607;592.8;605;93188
CIAN;D;131124;000000;607;607;586.6;596;40626
CIAN;D;141124;000000;595;608.6;584.6;603.4;42160
CIAN;D;151124;000000;592.4;605.6;590.2;604.6;38068
CIAN;D;161124;000000;608.4;630.4;608;620;80031
CIAN;D;191124;000000;603;637;592;629.8;80619
CIAN;D;201124;000000;629.4;647.4;591.2;591.2;87852
CIAN;D;211124;000000;596.6;600.6;573.4;582.2;57560
CIAN;D;221124;000000;589.8;589.8;565.8;576;34792
CIAN;D;231124;000000;581.2;594.8;578;583.6;25352
CIAN;D;261124;000000;578.2;580;565.2;575;26634
CIAN;D;271124;000000;572;582.6;529.4;536.4;127743
CIAN;D;281124;000000;535;535.8;475.8;502;216712
CIAN;D;291124;000000;517.4;529;506;516.2;40629
CIAN;D;301124;000000;515;528.8;507.2;528.8;34813
CIAN;D;031224;000000;529.4;574;529.2;565.8;238357
CIAN;D;041224;000000;565.4;568;546.2;554.6;96367
CIAN;D;051224;000000;549.6;551.8;518;518.6;102509
CIAN;D;061224;000000;518.2;528.6;490;500.2;213306
CIAN;D;071224;000000;509.8;524.8;487;498.8;728927
CIAN;D;101224;000000;505;508;496.6;504.4;40988
CIAN;D;111224;000000;505.2;505.2;488;492;37243
CIAN;D;121224;000000;496.8;496.8;477;482.4;33361
CIAN;D;131224;000000;478.2;484.2;462.2;462.6;143611
