<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
CIAN;60;120824;110000;695;698.8;691;694.6;3757
CIAN;60;120824;120000;694.6;695;680;682.6;10031
CIAN;60;120824;130000;682.8;683.8;680.2;683.2;2135
CIAN;60;120824;140000;683.2;687.8;681;684.8;2050
CIAN;60;120824;150000;685;693.6;684.6;693;4713
CIAN;60;120824;160000;693;694.2;690.4;692;2078
CIAN;60;120824;170000;693.2;702.2;690.8;698.2;8534
CIAN;60;120824;180000;698;707;694;707;3296
CIAN;60;120824;190000;707;707.8;700;700;1422
CIAN;60;130824;110000;700.2;706.6;700;703.6;1436
CIAN;60;130824;120000;704.6;708.8;702.2;708.8;1659
CIAN;60;130824;130000;708.2;719.8;708.2;719.8;8877
CIAN;60;130824;140000;719.8;719.8;714.8;716.8;3299
CIAN;60;130824;150000;716.8;717;714;716.8;1827
CIAN;60;130824;160000;716.8;730;716.6;727.2;8589
CIAN;60;130824;170000;727;727;721.2;723.4;5675
CIAN;60;130824;180000;722.4;723.8;718;719.6;4537
CIAN;60;130824;190000;721.2;721.8;719.2;721.2;1189
CIAN;60;140824;110000;723.6;730;718.2;728.4;4702
CIAN;60;140824;120000;728.4;730;725.8;727;5952
CIAN;60;140824;130000;727.2;728;722;726.6;5144
CIAN;60;140824;140000;725.8;736.8;719;731;9537
CIAN;60;140824;150000;734;734.8;726.8;730;6094
CIAN;60;140824;160000;730;739;727;738;19409
CIAN;60;140824;170000;736.2;738;731.4;733;1255
CIAN;60;140824;180000;733;733;725.4;728.6;5005
CIAN;60;140824;190000;729;729;722;723.8;4594
CIAN;60;150824;110000;723.2;731;719;719.6;3522
CIAN;60;150824;120000;719.8;721;716;716.2;2825
CIAN;60;150824;130000;716.2;720;713.2;717.4;5160
CIAN;60;150824;140000;718.6;718.6;709.2;709.8;8394
CIAN;60;150824;150000;709.8;717.4;703.8;713.4;5898
CIAN;60;150824;160000;716;717.4;709.8;714.2;1354
CIAN;60;150824;170000;714.6;717;710.8;717;2800
CIAN;60;150824;180000;715.6;724;715.2;724;1504
CIAN;60;150824;190000;724;725.8;718.8;718.8;1566
CIAN;60;160824;110000;721;721.4;711.2;713.6;2279
CIAN;60;160824;120000;714.4;717;706.6;714.8;1928
CIAN;60;160824;130000;712;714.8;711.2;714.8;231
CIAN;60;160824;140000;713.6;713.6;708;709.2;727
CIAN;60;160824;150000;708;718.4;708;715.6;1006
CIAN;60;160824;160000;715.4;715.6;707.8;713;5717
CIAN;60;160824;170000;713;717;713;716.8;555
CIAN;60;160824;180000;716.8;719;715;718.8;834
CIAN;60;160824;190000;718;718.8;715;715;1126
CIAN;60;190824;110000;712;714.6;700.8;703;3447
CIAN;60;190824;120000;703;705;702.8;704.2;2696
CIAN;60;190824;130000;703.8;704.8;701;702.2;1661
CIAN;60;190824;140000;701.4;704;697.4;703.8;2549
CIAN;60;190824;150000;703.8;705;700.6;703;2276
CIAN;60;190824;160000;702;703.2;700.6;703;1660
CIAN;60;190824;170000;703;708;701;707.6;3010
CIAN;60;190824;180000;707.6;708;701.6;704.8;1331
CIAN;60;190824;190000;704.8;704.8;700.2;700.2;1886
CIAN;60;200824;110000;700;704.2;696.2;702.4;1875
CIAN;60;200824;120000;701.6;702.4;690;697.2;11767
CIAN;60;200824;130000;697.2;708;693.8;708;3917
CIAN;60;200824;140000;708;713.6;707.8;711.6;2736
CIAN;60;200824;150000;709.6;711.8;707.2;711.2;1597
CIAN;60;200824;160000;711.4;712;707.2;708.4;838
CIAN;60;200824;170000;707.6;712.8;707.4;712.4;1082
CIAN;60;200824;180000;712.2;712.8;708.4;710;1008
CIAN;60;200824;190000;709;711;708;708;861
