<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;130824;000000;128.38;129.35;127.11;128.71;25800830
GAZP;D;140824;000000;128.79;130.8;128.79;130.49;23811100
GAZP;D;150824;000000;130.8;131.49;129.51;129.84;21667760
GAZP;D;160824;000000;129.98;130.31;127.01;127.6;25693730
GAZP;D;170824;000000;127.61;128.24;125.26;126.36;30430620
GAZP;D;200824;000000;126.42;127.69;125.21;126.29;30450030
GAZP;D;210824;000000;126.29;127.64;125.33;125.85;28164010
GAZP;D;220824;000000;125.5;126.4;123.03;123.38;35932010
GAZP;D;230824;000000;123.4;123.97;117.84;118.51;56139350
GAZP;D;240824;000000;118.2;119.24;115;116.81;60586860
GAZP;D;270824;000000;119.5;128.01;119.49;126.8;123117380
GAZP;D;280824;000000;127.3;127.98;122.52;124.47;92498810
GAZP;D;290824;000000;124.34;125.67;121;124.51;71144630
GAZP;D;300824;000000;124.49;130.91;123.55;130.27;165035420
GAZP;D;310824;000000;130.88;131.3;122.6;122.97;121346360
GAZP;D;030924;000000;122.89;124.73;121.43;123.86;82837340
GAZP;D;040924;000000;124.15;125.5;118.6;120.6;84447100
GAZP;D;050924;000000;120.7;122.9;119.66;122.46;45755380
GAZP;D;060924;000000;123.5;124.95;121.54;123.76;49655790
GAZP;D;070924;000000;123.75;124.6;122.26;123;24880630
GAZP;D;100924;000000;123.62;125.48;123.2;125.04;31663950
GAZP;D;110924;000000;125.52;125.96;122.82;123.44;27943810
GAZP;D;120924;000000;123.4;123.67;121.35;121.62;22166340
GAZP;D;130924;000000;121.61;121.84;117.32;118.78;46780470
GAZP;D;140924;000000;118.79;119.97;116.01;119.91;55804200
GAZP;D;170924;000000;120.6;122.62;119.52;121.73;38822020
GAZP;D;180924;000000;121.92;123.47;120.17;123.1;36844620
GAZP;D;190924;000000;122.63;123.9;121.9;122.18;30596960
GAZP;D;200924;000000;121.92;123.39;121.21;122.24;43276000
GAZP;D;210924;000000;122.26;123.18;121.86;122.4;28494600
GAZP;D;240924;000000;122.68;130.8;122.62;130.35;138202790
GAZP;D;250924;000000;130.89;139.9;130.66;139.71;295791620
GAZP;D;260924;000000;140.5;140.99;134.29;135.44;149560020
GAZP;D;270924;000000;134.94;138.48;133.64;137.35;131130280
GAZP;D;280924;000000;137.58;141.77;136.4;140.5;86196110
GAZP;D;011024;000000;140.51;144.2;136.82;138.19;236906630
GAZP;D;021024;000000;137.9;139.2;134.44;136.21;98465200
GAZP;D;031024;000000;136.21;137.16;131.7;132.12;66760070
GAZP;D;041024;000000;131.59;134.16;130.32;133.87;57302470
GAZP;D;051024;000000;134.06;134.49;132.03;133.32;28779720
GAZP;D;081024;000000;133.32;133.66;131.6;133.5;25422430
GAZP;D;091024;000000;133.18;134.88;132.9;133.83;32037150
GAZP;D;101024;000000;133.75;133.92;131.5;132.51;19454930
