<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;120824;110000;128.38;128.61;127.45;127.9;5308300
GAZP;60;120824;120000;127.89;128.34;127.3;127.43;3482570
GAZP;60;120824;130000;127.43;127.75;127.11;127.58;2300730
GAZP;60;120824;140000;127.56;128.39;127.5;127.96;1794710
GAZP;60;120824;150000;127.98;128.3;127.82;128.24;1406050
GAZP;60;120824;160000;128.23;129.35;128.23;128.78;3978470
GAZP;60;120824;170000;128.77;128.88;128.22;128.31;2113060
GAZP;60;120824;180000;128.31;128.6;128.04;128.41;1402390
GAZP;60;120824;190000;128.41;128.84;128.22;128.22;772020
GAZP;60;120824;200000;128.23;128.49;128.2;128.23;847850
GAZP;60;120824;210000;128.25;128.49;128.22;128.39;712490
GAZP;60;120824;220000;128.39;128.58;128.35;128.41;354730
GAZP;60;120824;230000;128.41;128.7;128.35;128.61;370490
GAZP;60;130824;000000;128.6;129.18;128.5;128.71;956970
GAZP;60;130824;110000;128.79;130.8;128.79;129.65;4762160
GAZP;60;130824;120000;129.65;129.7;129.07;129.57;1984350
GAZP;60;130824;130000;129.58;130;129.41;129.86;2823390
GAZP;60;130824;140000;129.85;130.4;129.53;130.19;3500010
GAZP;60;130824;150000;130.15;130.2;129.56;129.99;1290860
GAZP;60;130824;160000;130;130.25;129.85;130.24;1612900
GAZP;60;130824;170000;130.24;130.39;129.83;130.34;2070750
GAZP;60;130824;180000;130.33;130.65;129.83;130.02;2545900
GAZP;60;130824;190000;130.02;130.1;129.7;130.03;1110300
GAZP;60;130824;200000;129.82;129.98;129.75;129.83;264090
GAZP;60;130824;210000;129.83;130.02;129.81;130.02;295150
GAZP;60;130824;220000;130;130.2;129.95;129.97;456670
GAZP;60;130824;230000;130;130.18;129.9;130.12;274220
GAZP;60;140824;000000;130.18;130.58;130.1;130.49;820350
GAZP;60;140824;110000;130.8;131.49;130.59;131.02;5971850
GAZP;60;140824;120000;131.01;131.39;130.84;131.11;1492030
GAZP;60;140824;130000;131.1;131.38;130.87;131.23;1299100
GAZP;60;140824;140000;131.22;131.3;130.59;130.89;2530820
GAZP;60;140824;150000;130.89;131;130.51;130.6;1823250
GAZP;60;140824;160000;130.61;130.81;130.47;130.63;1039250
GAZP;60;140824;170000;130.64;130.71;130.49;130.5;77400
GAZP;60;140824;180000;130.5;130.6;129.8;130.14;2512930
GAZP;60;140824;190000;130.14;130.36;129.92;129.99;1947060
GAZP;60;140824;200000;129.99;130;129.61;129.79;1020930
GAZP;60;140824;210000;129.8;129.93;129.67;129.7;386390
GAZP;60;140824;220000;129.7;129.84;129.66;129.7;497660
GAZP;60;140824;230000;129.7;129.77;129.51;129.59;597130
GAZP;60;150824;000000;129.58;129.86;129.58;129.84;471960
GAZP;60;150824;110000;129.98;130.31;129.25;129.46;2946520
GAZP;60;150824;120000;129.39;129.44;128.52;128.8;3731320
GAZP;60;150824;130000;128.8;129.65;128.77;129.38;1781040
GAZP;60;150824;140000;129.35;129.71;128.81;128.94;1204210
GAZP;60;150824;150000;128.93;129.03;128.22;128.64;1771260
GAZP;60;150824;160000;128.65;128.69;127.85;127.94;2409460
GAZP;60;150824;170000;127.93;128.39;127.55;128.06;4328680
GAZP;60;150824;180000;128.06;128.24;127.14;127.23;2893390
GAZP;60;150824;190000;127.22;127.63;127.01;127.63;2276480
GAZP;60;150824;200000;127.44;127.7;127.32;127.68;769600
GAZP;60;150824;210000;127.69;127.86;127.41;127.51;481600
GAZP;60;150824;220000;127.51;127.68;127.43;127.53;256480
GAZP;60;150824;230000;127.53;127.59;127.24;127.26;508600
GAZP;60;160824;000000;127.27;127.6;127.24;127.6;335090
GAZP;60;160824;110000;127.61;128.24;127.3;127.58;3564610
GAZP;60;160824;120000;127.63;127.82;127.19;127.37;1254020
GAZP;60;160824;130000;127.38;127.71;127.25;127.39;1602980
GAZP;60;160824;140000;127.38;127.39;126.69;127.11;3684750
GAZP;60;160824;150000;127.15;127.69;127;127.19;1372190
GAZP;60;160824;160000;127.21;127.6;127.06;127.46;964030
GAZP;60;160824;170000;127.47;128.24;127.47;128.01;3144270
GAZP;60;160824;180000;128.01;128.1;127.55;127.71;1399550
GAZP;60;160824;190000;127.7;127.71;126.6;126.6;2961560
GAZP;60;160824;200000;126.69;126.91;126.55;126.7;1434740
GAZP;60;160824;210000;126.7;126.85;126.31;126.33;1594290
GAZP;60;160824;220000;126.32;126.32;125.68;125.75;3480940
GAZP;60;160824;230000;125.74;126.1;125.26;125.77;2387090
GAZP;60;170824;000000;125.73;127.05;125.71;126.36;1585600
GAZP;60;190824;110000;126.42;127.38;125.85;126.93;6714880
GAZP;60;190824;120000;126.93;127.69;126.42;126.71;3556130
GAZP;60;190824;130000;126.73;126.85;126.08;126.28;2106850
GAZP;60;190824;140000;126.29;126.48;125.51;126.08;4133960
GAZP;60;190824;150000;126.05;126.46;125.28;125.66;1951140
GAZP;60;190824;160000;125.68;126.1;125.36;125.64;1492060
GAZP;60;190824;170000;125.64;126.5;125.21;126.5;2855580
GAZP;60;190824;180000;126.48;127.07;126.11;126.92;3075260
GAZP;60;190824;190000;126.89;126.89;125.75;125.75;1540520
GAZP;60;190824;200000;125.73;126.16;125.52;126.14;1350230
GAZP;60;190824;210000;126.14;126.17;125.7;126;451690
GAZP;60;190824;220000;125.99;126.23;125.92;126.17;279070
GAZP;60;190824;230000;126.16;126.28;126;126.01;441570
GAZP;60;200824;000000;126;126.3;126;126.29;501090
GAZP;60;200824;110000;126.29;126.8;125.9;126.18;3393650
GAZP;60;200824;120000;126.18;126.7;125.82;126.69;2682680
GAZP;60;200824;130000;126.69;127.64;126.35;127.37;4283390
GAZP;60;200824;140000;127.37;127.57;126.7;127.24;2631720
GAZP;60;200824;150000;127.24;127.47;126.7;127.04;1910710
GAZP;60;200824;160000;127.04;127.11;126;126.01;3632580
GAZP;60;200824;170000;126;126.49;125.64;126.2;2313070
GAZP;60;200824;180000;126.2;126.36;125.62;125.78;1982840
GAZP;60;200824;190000;125.77;125.89;125.34;125.5;1881210
GAZP;60;200824;200000;125.52;125.86;125.52;125.54;807970
GAZP;60;200824;210000;125.56;125.94;125.5;125.84;717550
GAZP;60;200824;220000;125.84;125.9;125.44;125.48;500540
GAZP;60;200824;230000;125.51;126.05;125.33;125.86;941720
GAZP;60;210824;000000;125.86;126.1;125.71;125.85;484380
GAZP;60;210824;110000;125.5;126.4;125.5;125.8;2337310
GAZP;60;210824;120000;125.8;125.81;123.88;124.04;8996340
GAZP;60;210824;130000;124.01;124.71;123.95;124.44;3809800
GAZP;60;210824;140000;124.44;124.45;123.53;124.07;2855990
GAZP;60;210824;150000;124.04;124.45;123.4;123.85;3521680
GAZP;60;210824;160000;123.84;124.31;123.73;123.8;1992800
GAZP;60;210824;170000;123.81;124.34;123.52;123.99;2926590
GAZP;60;210824;180000;124;124.49;123.76;123.93;3607250
GAZP;60;210824;190000;123.93;123.99;123.6;123.66;1253160
GAZP;60;210824;200000;123.86;124;123.21;123.44;1614700
GAZP;60;210824;210000;123.43;123.49;123.03;123.34;1363060
GAZP;60;210824;220000;123.34;123.49;123.07;123.18;694310
GAZP;60;210824;230000;123.18;123.51;123.11;123.43;398860
GAZP;60;220824;000000;123.42;123.59;123.2;123.38;560160
GAZP;60;220824;110000;123.4;123.76;122.6;123.37;3448580
GAZP;60;220824;120000;123.37;123.97;123.21;123.41;2656970
GAZP;60;220824;130000;123.41;123.57;123.08;123.43;1465800
GAZP;60;220824;140000;123.43;123.7;123.11;123.21;1181770
GAZP;60;220824;150000;123.2;123.4;122.22;122.26;3692330
GAZP;60;220824;160000;122.27;122.5;121.32;121.42;3501850
GAZP;60;220824;170000;121.41;121.53;119.67;120.24;11597700
GAZP;60;220824;180000;120.21;120.5;119.24;119.66;7810970
GAZP;60;220824;190000;119.66;119.66;118.41;119;7111390
GAZP;60;220824;200000;119;119.28;117.84;118.97;7835730
GAZP;60;220824;210000;118.97;119.28;118.5;118.97;2357540
GAZP;60;220824;220000;118.97;119;118.27;118.29;1200360
GAZP;60;220824;230000;118.29;119.35;118.24;119.26;1303020
GAZP;60;230824;000000;119.26;119.33;118.3;118.51;975340
GAZP;60;230824;110000;118.2;119.24;116.06;117.32;15328840
GAZP;60;230824;120000;117.32;117.5;116.41;116.9;5250830
GAZP;60;230824;130000;116.9;118.18;116.88;117.36;4227510
GAZP;60;230824;140000;117.36;117.46;116.64;116.87;2431010
GAZP;60;230824;150000;116.81;117.17;115.7;116.07;4955920
GAZP;60;230824;160000;116.07;116.88;115.81;116.84;6277740
GAZP;60;230824;170000;116.84;117.34;116.39;117.29;3490470
GAZP;60;230824;180000;117.3;117.34;115.94;116.14;4102970
GAZP;60;230824;190000;116.14;116.5;115;116.26;6596780
GAZP;60;230824;200000;116.25;116.3;115.42;116.3;1724970
GAZP;60;230824;210000;116.3;116.74;116.21;116.31;1154300
GAZP;60;230824;220000;116.31;116.6;116.05;116.53;1076210
GAZP;60;230824;230000;116.52;117.16;116.52;116.92;2571080
GAZP;60;240824;000000;116.92;117.21;116.69;116.81;1398230
GAZP;60;260824;110000;119.5;122.26;119.49;122.25;23466090
GAZP;60;260824;120000;122.25;122.7;121.5;122.55;11626540
GAZP;60;260824;130000;122.55;123.1;122.14;122.85;7911300
GAZP;60;260824;140000;122.86;123.46;122.8;122.84;8500230
GAZP;60;260824;150000;122.93;125.35;122.8;124.64;10519320
GAZP;60;260824;160000;124.64;125.75;124.15;125.14;8997790
GAZP;60;260824;170000;125.14;128.01;125.13;126.12;21926560
GAZP;60;260824;180000;126.12;126.88;125.33;125.52;12243130
GAZP;60;260824;190000;125.51;125.59;124.5;124.61;6825150
GAZP;60;260824;200000;124.79;126.3;124.63;126.1;4012550
GAZP;60;260824;210000;126.1;126.56;125.61;125.85;3232890
GAZP;60;260824;220000;125.85;125.89;125.5;125.5;1346240
GAZP;60;260824;230000;125.51;126.25;125.5;126.12;1068900
GAZP;60;270824;000000;126.11;126.8;126.07;126.8;1440690
GAZP;60;270824;110000;127.3;127.98;125.53;126.3;14620410
GAZP;60;270824;120000;126.3;126.69;125.5;125.59;8676120
GAZP;60;270824;130000;125.59;126.79;125.01;126.66;7798400
GAZP;60;270824;140000;126.65;127.22;125.45;125.5;8325750
GAZP;60;270824;150000;125.49;126.34;125.1;126.2;6301170
GAZP;60;270824;160000;126.21;126.33;123.92;124.24;13097210
GAZP;60;270824;170000;124.24;124.78;122.85;123.16;14235090
GAZP;60;270824;180000;123.16;123.77;122.96;123.13;6225720
GAZP;60;270824;190000;123.13;123.42;122.52;122.93;5014430
GAZP;60;270824;200000;123.18;123.26;122.68;122.88;1502610
GAZP;60;270824;210000;122.9;123.79;122.83;123.66;1846140
GAZP;60;270824;220000;123.66;123.66;123.25;123.39;715820
GAZP;60;270824;230000;123.4;124;123.4;123.9;2342980
GAZP;60;280824;000000;123.9;124.7;123.71;124.47;1796960
GAZP;60;280824;110000;124.34;124.47;122.22;122.99;9131350
GAZP;60;280824;120000;122.98;123.43;121.61;121.96;6728870
GAZP;60;280824;130000;121.94;122.5;121.52;121.79;5270420
GAZP;60;280824;140000;121.8;122.03;121;121.87;6717750
GAZP;60;280824;150000;121.87;122.2;121.3;121.41;3540740
